Species;Maren;Mike;Dome;Charlotte;Laura;Henrik;Toni;Lisa;Amina;Wiebke;Jonas;Meike;Annika;Marie;Annika 2.0;Frank;Elina;Joshua;Tanja;Melina;Rebecca;Stella;Fabienne;Johanna;Anna;Paul;Vivi;Ariana
Lakritzsandwich_rosa_gelb;0;0;0;0;0;3;2;1;1;1;2;3;1;1;1;1;0;1;1;2;7;1;1;0;3;3;2;4
Lakritzstange_9eckig;0;0;0;0;0;0;1;2;0;0;4;0;0;3;1;1;0;0;0;1;0;2;2;0;3;5;0;2
Lakritzstange_Zuckerueberguss_gelb;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;0;5;1;0;0;0;0;0;3;0;1;0
Lakritzstange_Zuckerueberguss_weiss;0;0;0;0;0;3;0;0;0;3;0;3;2;0;0;0;0;2;0;0;0;0;0;2;0;0;3;0
Lakritzstange_Zuckerueberguss_rot;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lakritzstange_Zuckerueberguss_gruen;0;0;0;0;0;3;2;2;0;1;2;3;0;0;0;0;0;0;0;1;0;1;0;4;0;3;0;1
Lakritzstange_Zuckerueberguss_grau;0;0;0;0;0;0;0;1;0;3;5;0;0;0;0;1;0;0;2;1;0;0;1;0;0;3;0;1
Lakritzstange_Zuckerueberguss_pink;0;0;0;0;0;2;1;0;0;1;1;3;3;5;0;2;0;4;1;3;0;1;0;3;5;4;1;1
Lakritzstange_spirale;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
LakritzDoppelSandwich_weiss;0;0;0;0;0;1;2;0;0;0;4;0;0;2;0;1;0;1;3;2;0;0;0;2;0;0;0;1
