Station;Treatment;Replikat;Tag;Chl_roh1;Chl_roh2;Chl_roh3
6;P;1;6;345.8;314.7;303.3
6;P;2;6;253.0;229.0;226.8
6;P;3;6;230.0;220.6;244.0
6;N;1;6;209.0;199.0;183.3
6;N;2;6;562.1;627.5;596.6
6;N;3;6;529.7;489.0;593.9
6;Si;1;6;324.0;364.8;371.9
6;Si;2;6;355.1;386.5;392.0
6;Si;3;6;261.4;254.9;339.5
6;N+P;1;6;277.0;291.3;280.2
6;N+P;2;6;412.8;317.8;307.4
6;N+P;3;6;257.7;238.9;215.9
6;N+Si;1;6;932.2;1005;966.4
6;N+Si;2;6;874.8;973.2;995.3
6;N+Si;3;6;704.9;571.4;535.2
6;P+Si;1;6;179.2;209.7;219.5
6;P+Si;2;6;290.5;355.5;333.7
6;P+Si;3;6;194.7;189.3;192.8
6;N+P+Si;1;6;278.4;266.4;229.6
6;N+P+Si;2;6;703.1;708.8;676.5
6;N+P+Si;3;6;692.2;719.4;773.3
2;Kontrolle;1;7;285.2;287.4;269.6
2;Kontrolle;2;7;221.5;229.5;208.2
2;Kontrolle;3;7;269.6;343.4;361.9
2;P;1;7;280.2;340.7;283.3
2;P;2;7;430.3;371.4;324.5
2;P;3;7;326.1;287.3;228.9
2;N;1;7;342.3;276.7;362.6
2;N;2;7;344.1;483.4;400.4
2;N;3;7;580.7;640.0;540.0
2;Si;1;7;550.6;435.1;333.1
2;Si;2;7;510.1;509.5;429.4
2;Si;3;7;568.6;559.1;554.4
2;N+P;1;7;780.2;759.9;666.3
2;N+P;2;7;408.9;314.2;355.4
2;N+P;3;7;838.3;834.6;771.6
2;N+Si;1;7;1071.0;859.0;978.9
2;N+Si;2;7;1010.0;1263.0;1171.0
2;N+Si;3;7;1219.0;989.8;1069.0
2;P+Si;1;7;537.1;460.7;549.1
2;P+Si;2;7;643.8;429.2;467.2
2;P+Si;3;7;180.1;184.0;163.1
2;N+P+Si;1;7;876.2;890.6;865.9
2;N+P+Si;2;7;1591.0;1544.0;1794.0
2;N+P+Si;3;7;700.7;643.8;589.9
4;Kontrolle;1;7;361.6;367.2;397.0
4;Kontrolle;2;7;378.9;321.6;348.0
4;Kontrolle;3;7;277.3;313.3;290.8
4;P;1;7;359.5;287.8;308.4
4;P;2;7;557.3;655.5;547.5
4;P;3;7;307.4;355.0;290.5
4;N;1;7;472.3;438.1;503.5
4;N;2;7;286.0;240.5;227.2
4;N;3;7;649.5;511.4;759.6
4;Si;1;7;376.1;328.3;353.2
4;Si;2;7;402.1;364.0;356.2
4;Si;3;7;613.7;596.8;506.9
4;N+P;1;7;798.6;657.8;580.0
4;N+P;2;7;575.2;465.4;455.0
4;N+P;3;7;306.4;232.8;240.4
4;N+Si;1;7;1115.0;1216.0;1203.0
4;N+Si;2;7;1216.0;1108.0;1116.0
4;N+Si;3;7;413.2;484.0;398.3
4;P+Si;1;7;276.9;241.0;294.6
4;P+Si;2;7;429.8;493.8;398.2
4;P+Si;3;7;257.6;202.0;234.2
4;N+P+Si;1;7;1254.0;1102.0;1222.0
4;N+P+Si;2;7;1001.0;1155.0;1001.0
4;N+P+Si;3;7;1782.0;1704.0;1742.0
6;Kontrolle;1;7;232.7;215.3;205.0
6;Kontrolle;2;7;162.9;173.5;238.0
6;Kontrolle;3;7;347.2;300.7;362.6
6;P;1;7;370.5;429.1;310.6
6;P;2;7;326.9;347.4;277.1
6;P;3;7;291.6;280.0;270.6
6;N;1;7;218.7;231.8;223.0
6;N;2;7;780.9;595.5;658.0
6;N;3;7;776.1;748.4;673.6
6;Si;1;7;460.3;409.2;477.1
6;Si;2;7;401.7;368.6;363.9
6;Si;3;7;284.7;300.9;276.3
6;N+P;1;7;460.6;304.0;309.6
6;N+P;2;7;577.4;639.0;621.6
6;N+P;3;7;344.7;311.0;296.5
6;N+Si;1;7;1284.0;1296.0;1285.0
6;N+Si;2;7;1441.0;1394.0;1237.0
6;N+Si;3;7;923.3;920.9;972.4
6;P+Si;1;7;231.0;272.8;252.0
6;P+Si;2;7;288.9;483.9;344.3
6;P+Si;3;7;249.7;223.6;272.3
6;N+P+Si;1;7;298.7;425.1;455.6
6;N+P+Si;2;7;1102.0;1169.0;1127.0
6;N+P+Si;3;7;1096.0;1052.0;1140.0
