sample name;treatment;strain;replicate;anzahl_daphnia;sampling;total_dry_weight
Daphnien_III_A2;O;FI;2;5;8;0,673
Daphnien_III_A3;O;FI;3;5;8;0,565
Daphnien_III_A4;O;FI;4;5;8;0,527
Daphnien_III_A5;O;FI;5;4;8;0,323
Daphnien_III_A6;L;FI;1;4;8;0,544
Daphnien_III_B1;L;FI;2;5;8;0,441
Daphnien_III_B2;L;FI;3;3;8;0,389
Daphnien_III_B3;L;FI;4;4;8;0,259
Daphnien_III_B4;L;FI;5;3;8;0,481
Daphnien_III_B5;I;FI;1;4;8;0,469
Daphnien_III_B6;I;FI;2;5;8;0,582
Daphnien_III_C1;I;FI;3;3;8;0,528
Daphnien_III_C2;I;FI;4;5;8;0,398
Daphnien_III_C3;I;FI;5;3;8;0,45
Daphnien_III_C4;H;FI;1;5;8;0,465
Daphnien_III_C5;H;FI;2;5;8;0,535
Daphnien_III_C6;H;FI;3;4;8;0,613
Daphnien_III_D1;H;FI;4;4;8;0,599
Daphnien_III_D2;H;FI;5;4;8;0,512
Daphnien_III_D3;H;DE;4;5;8;0,615
Daphnien_III_D4;H;DE;5;5;8;0,685
Daphnien_IV_A1;O;DE;1;4;8;0,389
Daphnien_IV_A2;O;DE;2;5;8;0,519
Daphnien_IV_A3;O;DE;3;4;8;0,423
Daphnien_IV_A4;O;DE;4;4;8;0,286
Daphnien_IV_A5;O;DE;5;3;8;0,359
Daphnien_IV_A6;L;DE;1;5;8;0,43
Daphnien_IV_B1;L;DE;2;5;8;0,503
Daphnien_IV_B2;L;DE;3;5;8;0,497
Daphnien_IV_B3;L;DE;4;4;8;0,39
Daphnien_IV_B4;L;DE;5;5;8;0,508
Daphnien_IV_B5;I;DE;1;5;8;0,602
Daphnien_IV_B6;I;DE;2;5;8;0,574
Daphnien_IV_C1;I;DE;3;5;8;0,583
Daphnien_IV_C2;I;DE;4;5;8;0,576
Daphnien_IV_C3;I;DE;5;5;8;0,62
Daphnien_IV_C4;H;DE;1;5;8;0,635
Daphnien_IV_C5;H;DE;2;5;8;0,596
Daphnien_IV_C6;H;DE;3;5;8;0,639
